YEAR,MO,DY,HR,ALLSKY_SFC_UVB,ALLSKY_SFC_LW_DWN,PRECTOTCORR,PS
2025,1,1,0,0.0,370.2,0.48,84.53
2025,1,1,1,0.0,372.25,0.49,84.48
2025,1,1,2,0.0,363.1,0.53,84.44
2025,1,1,3,0.0,367.58,0.48,84.43
2025,1,1,4,0.0,366.67,0.37,84.43
2025,1,1,5,0.0,365.1,0.3,84.47
2025,1,1,6,0.01,360.67,0.27,84.55
2025,1,1,7,0.14,349.45,1.45,84.65
2025,1,1,8,0.56,362.15,1.13,84.72
2025,1,1,9,1.16,372.75,0.85,84.74
2025,1,1,10,1.7,379.0,0.31,84.7
2025,1,1,11,2.01,384.52,0.07,84.62
2025,1,1,12,1.87,395.42,0.04,84.52
2025,1,1,13,1.56,373.0,0.05,84.43
2025,1,1,14,1.06,397.83,0.3,84.37
2025,1,1,15,0.51,396.2,0.8,84.34
2025,1,1,16,0.13,399.35,3.39,84.35
2025,1,1,17,0.01,398.52,5.81,84.4
2025,1,1,18,0.0,391.65,8.63,84.47
2025,1,1,19,0.0,382.73,7.48,84.55
2025,1,1,20,0.0,388.95,7.38,84.61
2025,1,1,21,0.0,383.05,7.36,84.63
2025,1,1,22,0.0,377.75,8.64,84.66
2025,1,1,23,0.0,372.02,6.72,84.67
2025,1,2,0,0.0,385.62,3.53,84.63
2025,1,2,1,0.0,366.17,6.03,84.57
2025,1,2,2,0.0,376.7,8.97,84.52
2025,1,2,3,0.0,369.1,9.5,84.49
2025,1,2,4,0.0,370.38,5.44,84.5
2025,1,2,5,0.0,371.92,4.31,84.55
2025,1,2,6,0.01,377.5,4.77,84.62
2025,1,2,7,0.12,371.08,5.17,84.7
2025,1,2,8,0.47,382.98,7.37,84.75
2025,1,2,9,0.9,391.2,7.56,84.74
2025,1,2,10,1.31,407.12,6.84,84.71
2025,1,2,11,1.51,415.48,5.95,84.63
2025,1,2,12,1.37,411.33,7.39,84.55
2025,1,2,13,1.15,404.1,12.38,84.47
2025,1,2,14,0.82,413.23,14.0,84.41
2025,1,2,15,0.39,414.52,12.33,84.39
2025,1,2,16,0.1,420.15,12.99,84.39
2025,1,2,17,0.01,408.83,13.33,84.43
